word,count
font,45
ignore,45
fully,44
adding,44
obviously,44
x,44
pick,44
america,44
beta,44
worked,44
amazing,44
multiple,44
context,44
yourself,44
program,44
somehow,43
specific,43
role,43
went,43
style,43
opinion,43
easier,43
6,43
sending,43
finn,43
sounds,42
ones,42
programming,42
plugins,42
deleted,42
goes,42
note,42
built,42
ni,42
we've,41
dead,41
+,41
terminal,41
case,41
feels,41
article,41
players,41
small,41
b,41
experience,41
die,41
fish,41
wow,41
github,41
delete,41
comes,40
problems,40
thinking,40
changed,40
check,40
win,40
actual,40
sometimes,40
whoops,40
gave,40
8,40
slightly,40
anymore,39
content,39
night,39
downloading,39
hey,39
none,39
ip,39
switch,39
title,39
config,39
firefox,39
generally,38
20,38
git,38
apps,38
art,38
decided,38
break,38
turn,38
told,38
pop,38
rn,38
pack,38
\,38
exists,38
recommend,38
song,38
hour,38
wouldn't,38
buy,38
versions,37
requires,37
village,37
warp,37
completely,37
👍,37
current,37
count,37
crap,37
c,37
news,37
health,37
places,37
couldn't,37
must,37
besides,37
remove,37
wikipedia,37
usb,37
la,37
✅,37
save,36
gone,36
worse,36
reading,36
<:enook_cook:1127624847686639637>,36
reasons,36
0,36
usually,36
music,36
guide,36
wordle,36
north,36
stanley,36
browser,36
blue,36
skills,35
basic,35
function,35
admin,35
sad,35
confused,35
event,35
screenshot,35
hmmm,35
ping,35
sound,35
uh,35
joined,35
bill,35
username,35
verify,35
option,35
argument,35
sona,35
written,34
become,34
seconds,34
supposed,34
create,34
needs,34
similar,34
dollars,34
space,34
that’s,34
anyway,34
information,34
walking,34
trust,34
allow,34
shows,34
away,34
past,34
build,34
manually,34
island,34
pi,34
sucks,33
except,33
figured,33
under,33
allows,33
interesting,33
favourite,33
quick,33
etc,33
released,33
related,33
custom,33
false,33
fake,33
came,33
commands,33
bus,33
iirc,32
together,32
currently,32
post,32
quite,32
giving,32
settings,32
sec,32
months,32
emoji,32
fishing,32
whether,32
15,32
wifi,32
high,32
mastodon,32
allowed,32
government,32
political,32
earth,32
silly,32
that'd,32
original,32
typing,31
almost,31
damn,31
card,31
installing,31
properly,31
draw,31
sudo,31
took,31
looked,31
inside,31
red,31
light,31
numbers,31
stick,31
tiktok,31
email,31
signal,31
ala,31
latest,30
order,30
options,30
via,30
recently,30
profile,30
banned,30
building,30
welcome,30
imagine,30
fan,30
mine,30
s,30
lonk,30
canadian,30
closed,30
cd,30
wiki,30
apple,30
modern,30
difficult,29
bye,29
area,29
levels,29
spend,29
ios,29
randomly,29
state,29
depends,29
required,29
spent,29
updates,29
effect,29
eventually,29
death,29
crashed,29
learning,29
computers,29
level,29
following,29
three,29
flag,29
setting,29
modrinth,29
wrote,29
/j,29
nimi,29
mostly,28
grass,28
w,28
turned,28
bring,28
reference,28
given,28
genuinely,28
could've,28
assume,28
company,28
week,28
speak,28
group,28
you’re,28
touch,28
desktop,28
impossible,28
head,28
inventory,28
against,28
os,28
launcher,28
useful,27
hmm,27
yikes,27
party,27
vibe,27
bot,27
ideas,27
several,27
putting,27
war,27
reset,27
history,27
channels,27
avoid,27
lines,27
voice,27
west,27
css,27
english,27
report,27
tragic,27
string,27
telling,27
maps,27
console,27
worst,27
fy,27
privacy,27
cannot,27
google,27
sentence,27
letter,27
certain,26
future,26
brain,26
happy,26
exact,26
asking,26
ban,26
moved,26
community,26
gives,26
course,26
tag,26
jar,26
bottom,26
buttons,26
pengu,26
implement,26
excited,26
lets,26
finally,26
30,26
slow,26
ability,26
created,26
gotten,26
laptop,26
character,26
mentioned,26
fuck,26
power,25
clearly,25
thread,25
home,25
password,25
quickly,25
takes,25
lost,25
characters,25
breaking,25
lol,25
ligne,25
letters,25
macos,25
background,25
boot,25
beat,25
damage,25
friend,25
lose,25
cringe,25
images,25
upload,25
broke,25
9,25
learned,25
named,25
needed,25
//,25
domain,25
drive,25
slop,25
trump,25
noah,25
collections,24
implemented,24
onto,24
edit,24
gnome,24
thanks,24
enabled,24
food,24
available,24
ugly,24
otherwise,24
somewhere,24
12,24
n,24
